Ê±¼ä´Á	wf_diff	wf_rms	Zernike_1	Zernike_2	Zernike_3	Zernike_4	Zernike_5	Zernike_6	Zernike_7	Zernike_8	Zernike_9	Zernike_10	Zernike_11	Zernike_12	Zernike_13	Zernike_14	Zernike_15
2025-06-06-10£º23£º15.38	195.076	34.695	-64.114	41.322	23.834	-0.653	7.597	-10.823	-4.432	6.173	0.421	0.173	0.127	-0.042	1.256	-1.398	0.559
2025-06-06-10£º23£º15.45	169.136	31.127	-60.821	40.646	21.548	-1.576	7.675	-10.377	-4.061	6.336	0.166	0.404	0.033	-0.247	1.300	-1.405	0.379
2025-06-06-10£º23£º15.61	130.134	25.571	-54.426	33.825	21.846	-2.501	8.170	-10.209	-3.201	6.257	0.257	0.813	-0.198	-0.326	1.249	-1.336	-0.219
2025-06-06-10£º23£º15.68	171.260	34.533	-64.655	46.845	20.703	-2.109	10.545	-14.487	-5.975	7.900	0.296	0.677	-0.017	-0.110	1.522	-1.802	0.667
2025-06-06-10£º23£º15.87	112.415	22.945	-49.003	28.409	23.014	-0.810	9.228	-13.362	-4.005	6.488	0.497	-0.324	-0.118	-0.107	1.270	-1.275	0.099
2025-06-06-10£º23£º15.97	155.028	29.163	-63.235	44.187	21.741	-2.419	8.389	-11.472	-3.802	6.293	0.248	0.091	0.171	-0.336	1.119	-1.223	0.248
2025-06-06-10£º23£º16.18	164.232	31.830	-55.540	35.673	22.327	-1.977	7.765	-11.766	-4.477	6.238	0.435	0.999	0.028	-0.102	1.160	-1.271	0.508
2025-06-06-10£º23£º16.25	155.163	28.888	-63.296	41.475	20.261	-0.227	9.349	-11.546	-3.626	6.907	0.433	0.333	0.273	-0.035	1.286	-1.448	-0.140
2025-06-06-10£º23£º16.29	186.664	34.031	-68.329	46.651	23.521	-0.077	8.779	-12.958	-5.256	6.837	0.561	-0.143	-0.031	-0.061	1.354	-1.472	0.625
2025-06-06-10£º23£º16.40	109.551	22.567	-62.898	41.518	15.704	4.185	-8.613	13.265	-7.305	9.254	-0.401	2.846	-2.142	1.027	-3.375	5.928	-8.992
2025-06-06-10£º23£º16.52	149.261	27.305	-59.005	36.274	19.838	0.244	7.368	-8.475	-2.703	5.336	0.586	0.606	0.538	0.117	0.976	-1.026	-0.674
2025-06-06-10£º23£º16.57	166.322	32.746	-59.255	40.744	21.878	-1.235	8.225	-12.918	-4.568	6.879	0.291	0.236	-0.507	-0.058	1.138	-0.922	0.071
2025-06-06-10£º23£º16.69	178.213	32.584	-63.037	38.572	24.020	-0.265	6.247	-7.798	-2.349	5.069	0.681	-0.450	-0.400	0.072	0.954	-1.020	-0.294
2025-06-06-10£º23£º16.84	181.262	35.241	-64.068	41.315	22.574	-0.077	7.921	-10.145	-4.309	6.603	0.621	-0.295	-0.171	-0.087	1.286	-1.684	0.513
2025-06-06-10£º23£º16.89	181.562	32.114	-68.322	43.031	23.943	-0.149	8.923	-10.803	-4.050	7.150	0.586	-0.231	-0.140	0.084	1.338	-1.641	0.282
2025-06-06-10£º23£º16.99	143.129	27.755	-50.557	30.277	22.590	-1.303	7.803	-10.824	-2.309	4.084	0.180	0.333	-0.042	-0.186	0.792	-0.703	-0.135
2025-06-06-10£º23£º17.07	156.606	29.926	-59.199	40.384	21.500	-1.712	7.684	-11.086	-3.959	6.238	0.085	0.629	-0.262	-0.341	1.181	-1.231	0.088
